order_id,customer_id,product_id,quantity,unit_price,order_date,region
ORD-0000001,CUST-00308,PROD-018,18,948.77,2023-05-05,Valencia
ORD-0000002,CUST-00642,PROD-044,18,498.14,2025-05-24,Málaga
ORD-0000003,CUST-00965,PROD-042,17,322.14,2025-02-19,Zaragoza
ORD-0000004,CUST-00419,PROD-010,13,187.96,2024-09-06,Murcia
ORD-0000005,CUST-00485,PROD-016,10,858.24,2024-04-06,Valencia
ORD-0000006,CUST-00826,PROD-030,18,415.61,2023-04-29,Zaragoza
ORD-0000007,CUST-00571,PROD-034,13,246.64,2023-10-02,Bilbao
ORD-0000008,CUST-00339,PROD-042,15,847.89,2023-06-11,Barcelona
ORD-0000009,CUST-00549,PROD-047,2,272.12,2024-01-26,Madrid
ORD-0000010,CUST-00895,PROD-005,19,725.68,2024-01-21,Murcia
ORD-0000011,CUST-00223,PROD-031,11,306.67,2024-03-03,Madrid
ORD-0000012,CUST-00217,PROD-013,16,914.86,2023-08-29,Bilbao
ORD-0000013,CUST-00407,PROD-016,11,776.63,2026-02-04,Zaragoza
ORD-0000014,CUST-00478,PROD-035,10,265.25,2025-01-05,Murcia
ORD-0000015,CUST-00904,PROD-032,4,803.79,2025-08-12,Alicante
ORD-0000016,CUST-00780,PROD-021,12,316.35,2024-02-21,Madrid
ORD-0000017,CUST-00577,PROD-015,1,264.47,2023-10-26,Zaragoza
ORD-0000018,CUST-00303,PROD-010,11,233.87,2024-02-06,Bilbao
ORD-0000019,CUST-00512,PROD-036,9,764.54,2024-11-22,Alicante
ORD-0000020,CUST-00990,PROD-047,15,172.39,2025-10-01,Málaga
ORD-0000021,CUST-00174,PROD-009,16,188.13,2026-01-24,Murcia
ORD-0000022,CUST-00658,PROD-004,2,839.86,2025-12-09,Barcelona
ORD-0000023,CUST-00968,PROD-043,1,415.33,2023-04-10,Bilbao
ORD-0000024,CUST-00070,PROD-046,1,222.62,2023-11-06,Alicante
ORD-0000025,CUST-00383,PROD-004,16,20.65,2025-09-16,Murcia
ORD-0000026,CUST-00565,PROD-027,1,531.77,2023-01-25,Sevilla
ORD-0000027,CUST-00549,PROD-019,17,814.08,2023-02-05,Zaragoza
ORD-0000028,CUST-00826,PROD-012,4,526.76,2023-08-08,Bilbao
ORD-0000029,CUST-00197,PROD-040,9,816.13,2025-12-14,Sevilla
ORD-0000030,CUST-00815,PROD-026,12,959.49,2023-06-11,Alicante
ORD-0000031,CUST-00579,PROD-016,10,685.61,2024-04-07,Barcelona
ORD-0000032,CUST-00670,PROD-042,3,408.25,2023-03-06,Zaragoza
ORD-0000033,CUST-00566,PROD-031,1,704.32,2023-04-25,Barcelona
ORD-0000034,CUST-00512,PROD-028,19,977.43,2024-11-09,Barcelona
ORD-0000035,CUST-00917,PROD-034,8,215.36,2023-03-29,Alicante
ORD-0000036,CUST-00278,PROD-003,9,899.81,2023-06-02,Madrid
ORD-0000037,CUST-00184,PROD-021,7,589.1,2023-02-02,Zaragoza
ORD-0000038,CUST-00952,PROD-005,6,566.13,2024-09-04,Zaragoza
ORD-0000039,CUST-00694,PROD-035,13,756.82,2024-11-10,Valencia
ORD-0000040,CUST-00810,PROD-045,17,746.72,2023-06-10,Málaga
ORD-0000041,CUST-00055,PROD-007,8,839.47,2025-06-14,Málaga
ORD-0000042,CUST-00620,PROD-050,11,34.48,2025-03-23,Sevilla
ORD-0000043,CUST-00803,PROD-029,8,359.03,2025-10-01,Zaragoza
ORD-0000044,CUST-00443,PROD-012,3,773.3,2025-02-17,Sevilla
ORD-0000045,CUST-00818,PROD-016,3,271.63,2023-05-31,Zaragoza
ORD-0000046,CUST-00729,PROD-041,13,320.09,2023-11-12,Barcelona
ORD-0000047,CUST-00094,PROD-001,15,363.11,2024-09-23,Sevilla
ORD-0000048,CUST-00105,PROD-009,6,433.82,2023-06-28,Murcia
ORD-0000049,CUST-00569,PROD-033,4,31.13,2025-04-15,Málaga
ORD-0000050,CUST-00568,PROD-006,13,17.28,2024-10-26,Zaragoza
ORD-0000051,CUST-00398,PROD-050,18,905.67,2023-06-23,Bilbao
ORD-0000052,CUST-00586,PROD-034,13,173.65,2023-12-14,Sevilla
ORD-0000053,CUST-00309,PROD-018,5,67.95,2025-10-06,Zaragoza
ORD-0000054,CUST-00283,PROD-027,16,783.75,2024-09-05,Málaga
ORD-0000055,CUST-00258,PROD-016,20,618.58,2025-10-12,Alicante
ORD-0000056,CUST-00110,PROD-009,1,949.07,2024-09-15,Málaga
ORD-0000057,CUST-00862,PROD-040,11,443.02,2025-02-17,Zaragoza
ORD-0000058,CUST-00836,PROD-042,10,324.06,2023-10-06,Bilbao
ORD-0000059,CUST-00491,PROD-021,13,968.87,2023-12-30,Sevilla
ORD-0000060,CUST-00753,PROD-045,19,783.06,2025-10-02,Málaga
ORD-0000061,CUST-00386,PROD-018,12,118.32,2025-03-15,Bilbao
ORD-0000062,CUST-00607,PROD-035,18,31.78,2024-01-04,Alicante
ORD-0000063,CUST-00966,PROD-046,15,798.69,2024-03-05,Barcelona
ORD-0000064,CUST-00839,PROD-027,5,635.16,2025-10-19,Bilbao
ORD-0000065,CUST-00259,PROD-043,14,790.12,2023-11-12,Barcelona
ORD-0000066,CUST-00460,PROD-039,19,403.8,2025-09-08,Murcia
ORD-0000067,CUST-00946,PROD-045,18,41.58,2025-05-06,Málaga
ORD-0000068,CUST-00719,PROD-035,4,770.1,2023-06-24,Málaga
ORD-0000069,CUST-00171,PROD-042,19,983.68,2023-04-01,Zaragoza
ORD-0000070,CUST-00991,PROD-049,14,110.41,2024-11-10,Barcelona
ORD-0000071,CUST-00265,PROD-015,17,560.2,2025-11-11,Bilbao
ORD-0000072,CUST-00457,PROD-024,15,773.47,2025-03-12,Murcia
ORD-0000073,CUST-00155,PROD-023,16,109.03,2023-02-20,Zaragoza
ORD-0000074,CUST-00943,PROD-006,5,351.58,2023-08-26,Málaga
ORD-0000075,CUST-00467,PROD-014,16,351.56,2025-12-03,Barcelona
ORD-0000076,CUST-00449,PROD-047,11,71.84,2025-07-15,Madrid
ORD-0000077,CUST-00830,PROD-046,1,849.93,2023-08-24,Barcelona
ORD-0000078,CUST-00694,PROD-011,17,178.58,2024-05-14,Valencia
ORD-0000079,CUST-00339,PROD-036,15,235.69,2025-05-23,Zaragoza
ORD-0000080,CUST-00645,PROD-012,14,398.6,2024-01-17,Bilbao
ORD-0000081,CUST-00461,PROD-038,13,9.43,2025-05-29,Bilbao
ORD-0000082,CUST-00211,PROD-018,19,106.24,2023-05-09,Murcia
ORD-0000083,CUST-00192,PROD-024,7,460.26,2024-10-29,Sevilla
ORD-0000084,CUST-00687,PROD-032,11,598.98,2025-12-16,Zaragoza
ORD-0000085,CUST-00602,PROD-008,12,846.28,2024-12-13,Valencia
ORD-0000086,CUST-00834,PROD-044,20,592.21,2024-09-01,Valencia
ORD-0000087,CUST-00321,PROD-008,10,121.36,2024-05-03,Málaga
ORD-0000088,CUST-00711,PROD-010,13,421.14,2025-11-12,Valencia
ORD-0000089,CUST-00589,PROD-025,6,489.23,2025-05-16,Murcia
ORD-0000090,CUST-00711,PROD-042,18,171.03,2023-12-21,Sevilla
ORD-0000091,CUST-00144,PROD-012,15,621.31,2024-10-06,Málaga
ORD-0000092,CUST-00975,PROD-001,5,199.15,2025-09-19,Zaragoza
ORD-0000093,CUST-00987,PROD-036,16,412.08,2025-11-01,Alicante
ORD-0000094,CUST-00426,PROD-046,16,171.42,2025-06-28,Madrid
ORD-0000095,CUST-00815,PROD-049,10,37.53,2024-03-27,Bilbao
ORD-0000096,CUST-00551,PROD-019,15,567.82,2023-12-11,Alicante
ORD-0000097,CUST-00563,PROD-033,19,118.63,2023-08-20,Murcia
ORD-0000098,CUST-00844,PROD-024,2,761.2,2026-01-15,Alicante
ORD-0000099,CUST-00560,PROD-014,4,737.3,2025-05-20,Bilbao
ORD-0000100,CUST-00305,PROD-003,9,351.83,2025-07-10,Barcelona
ORD-0000101,CUST-00450,PROD-008,7,811.64,2024-04-30,Málaga
ORD-0000102,CUST-00882,PROD-046,6,618.06,2025-05-26,Bilbao
ORD-0000103,CUST-00834,PROD-014,19,354.06,2023-05-02,Sevilla
ORD-0000104,CUST-00612,PROD-035,11,979.1,2023-12-11,Sevilla
ORD-0000105,CUST-00297,PROD-037,17,985.55,2024-07-01,Barcelona
ORD-0000106,CUST-00139,PROD-049,2,992.51,2025-04-22,Valencia
ORD-0000107,CUST-00719,PROD-009,5,712.83,2024-05-26,Bilbao
ORD-0000108,CUST-00780,PROD-044,16,146.46,2025-03-15,Sevilla
ORD-0000109,CUST-00643,PROD-027,15,80.14,2025-02-07,Barcelona
ORD-0000110,CUST-00413,PROD-033,12,457.42,2024-07-23,Alicante
ORD-0000111,CUST-00336,PROD-038,3,732.27,2023-01-06,Alicante
ORD-0000112,CUST-00651,PROD-043,3,796.69,2025-01-03,Zaragoza
ORD-0000113,CUST-00224,PROD-028,16,272.19,2024-03-09,Sevilla
ORD-0000114,CUST-00346,PROD-036,19,853.15,2023-09-25,Málaga
ORD-0000115,CUST-00916,PROD-044,2,104.08,2023-04-10,Alicante
ORD-0000116,CUST-00017,PROD-008,15,459.23,2023-11-20,Zaragoza
ORD-0000117,CUST-00208,PROD-045,10,163.18,2023-09-28,Sevilla
ORD-0000118,CUST-00096,PROD-042,9,87.01,2025-01-08,Valencia
ORD-0000119,CUST-00054,PROD-026,8,432.08,2024-09-17,Barcelona
ORD-0000120,CUST-00721,PROD-007,7,479.42,2023-01-03,Valencia
ORD-0000121,CUST-00608,PROD-015,15,14.24,2025-11-29,Málaga
ORD-0000122,CUST-00837,PROD-008,5,480.31,2025-05-14,Bilbao
ORD-0000123,CUST-00393,PROD-006,4,316.78,2023-07-29,Sevilla
ORD-0000124,CUST-00141,PROD-025,5,73.07,2023-09-30,Madrid
ORD-0000125,CUST-00625,PROD-042,15,354.43,2023-12-03,Bilbao
ORD-0000126,CUST-00644,PROD-048,14,617.99,2023-11-07,Alicante
ORD-0000127,CUST-00881,PROD-014,4,144.31,2023-06-27,Barcelona
